,marketSegment,project,street,x,y
54,CCR,THE SAIL @ MARINA BAY,MARINA BOULEVARD,30153.787016910001,29266.08491559
55,RCR,TERESA VILLE,LOWER DELTA ROAD,26966.295829390001,28711.46430891
56,RCR,BAYVILLE CONDOMINIUM,SOUTH BUONA VISTA ROAD,22923.808014880002,29353.564405930001
57,RCR,GOLD COAST CONDOMINIUM,PASIR PANJANG ROAD,21490.012551209999,30340.874871789999
58,RCR,TERESA 8,BUKIT TERESA CLOSE,27157.273501839999,28780.410741559999
59,CCR,INTERNATIONAL PLAZA,ANSON ROAD,29400.442696849999,28696.641766130001
60,RCR,PEOPLE'S PARK CENTRE,UPPER CROSS STREET,29175.535,29797.8735
61,RCR,KINGSFORD TERRACE,PASIR PANJANG HILL,22571.282188100001,29438.192702620001
62,RCR,ONZE @ TANJONG PAGAR,KEE SENG STREET,29015.2513341,28601.678435230002
63,RCR,THE BEACON,CANTONMENT ROAD,28821.30389651,28739.677041820001
64,RCR,THE ARRIS,YAN KIT ROAD,28913.277538310001,28629.208919689999
65,RCR,PASIR PANJANG COURT,PASIR PANJANG CLOSE,21238.965,30518.4733
66,RCR,THE PEAK@BALMEG,BALMEG HILL,22502.1977,29441.47
67,RCR,PEOPLE'S PARK COMPLEX,PARK ROAD,29024.31734804,29626.907980640001
68,RCR,RIA APARTMENTS,JALAN PASIR RIA,23450.3715,28788.303
69,RCR,HARBOUR VIEW GARDENS,PASIR PANJANG ROAD,22608.559823519999,29064.256643239999
70,OCR,LANDED HOUSING DEVELOPMENT,JUBILEE ROAD,20653.873209350002,32021.98765525
71,CCR,EDEN RESIDENCES CAPITOL,STAMFORD ROAD,30001.887500279999,30638.803361589998
72,OCR,THE PARC CONDOMINIUM,WEST COAST WALK,20141.571769790002,32575.679084280001
73,RCR,SPRINGDEW TERRACE,JALAN MAT JAMBOL,23318.705107470001,28829.26337363
74,RCR,THE SPECTRUM,PASIR PANJANG ROAD,20786.980678620001,30436.344753149999
75,OCR,LANDED HOUSING DEVELOPMENT,WEST COAST ROAD,19961.24970756,32368.06064371
76,RCR,CHELSEA VILLAGE,JAMBOL PLACE,23138.39438386,28963.470514690002
77,CCR,THE BERTH BY THE COVE,OCEAN DRIVE,29491.80183128,25824.447313010001
78,RCR,PASIR VIEW PARK,PASIR PANJANG ROAD,22930.249298729999,29070.493679840001
79,RCR,RIVERWALK APARTMENTS,UPPER CIRCULAR ROAD,29671.796120439999,30147.634888370001
80,RCR,TIONG BAHRU ESTATE,YONG SIAK STREET,27654.136318719999,29425.931903180001
81,OCR,THE STELLAR,WEST COAST ROAD,20726.506286409999,30692.513579200001
82,RCR,CHWEE CHIAN VIEW,CHWEE CHIAN VIEW,22911.15007287,29177.325967599999
83,RCR,VILLAGE @ PASIR PANJANG,PASIR PANJANG ROAD,20949.637477040001,30367.816038479999
84,OCR,THE TRILINQ,JALAN LEMPENG,19960.3243,33428.3148
85,OCR,WEST BAY CONDOMINIUM,WEST COAST CRESCENT,20457.550560339999,31300.30302533
86,OCR,LANDED HOUSING DEVELOPMENT,JALAN MAS KUNING,20345.657454640002,32265.95540473
87,RCR,THE BENCOOLEN,BENCOOLEN STREET,30235.7487,31545.4827
88,CCR,CORAL ISLAND,CORAL ISLAND,29437.54541562,26036.574091360002
89,RCR,COMMONWEALTH TOWERS,COMMONWEALTH AVENUE ,25024.8141,30864.9859
90,RCR,WHITEVILLAS ROW,PASIR PANJANG ROAD,22055.708958239998,29830.670345399999
91,RCR,TANGLIN VIEW,PRINCE CHARLES CRESCENT,26225.400104790002,30489.26069871
92,RCR,PALM MANSIONS,PASIR PANJANG ROAD,21661.168130610001,30199.864064290001
93,OCR,NEWEST,WEST COAST DRIVE,19550.2739,33192.3564
94,OCR,THE INFINITI,WEST COAST PARK,19319.67,33468.9927
95,OCR,SEAHILL,WEST COAST CRESCENT,20285.871,31265.3014
96,CCR,LANDED HOUSING DEVELOPMENT,COVE WAY,28579.34312958,25040.7695512
97,RCR,ALEXIS,ALEXANDRA ROAD,25105.2265,30386.7971
98,RCR,CLYDESVIEW,JERVOIS LANE,26322.11235813,30764.961335680002
99,RCR,LANDED HOUSING DEVELOPMENT,BUKIT TERESA CLOSE,27109.822051830001,28794.948319400001
100,RCR,REGENCY SUITES,KIM TIAN ROAD,27568.652118340001,29659.41137017
101,CCR,LANDED HOUSING DEVELOPMENT,OCEAN DRIVE,29573.811594689999,25859.7388178
102,RCR,DORSETT RESIDENCES,NEW BRIDGE ROAD,28774.053,29161.0987
103,RCR,LANDED HOUSING DEVELOPMENT,GUOK AVENUE,21311.179662919999,30476.512566039999
104,RCR,THE RIVERSIDE PIAZZA,KENG CHEOW STREET,29192.114797760001,30081.410503699998
105,RCR,GLORIA MANSION,PASIR PANJANG ROAD,22096.375260920001,29938.333972129998
106,OCR,WEST COAST GARDENS,WEST COAST AVENUE,19487.264260460001,32953.145852810002
107,CCR,MARINA ONE RESIDENCES,MARINA WAY,30220.403,28791.703
108,RCR,SPOTTISWOODE RESIDENCES,SPOTTISWOODE PARK ROAD,28380.88295588,28643.157662819999
109,OCR,PARK WEST,JALAN LEMPENG,19853.734,33377.4773
110,RCR,EMERALD GARDEN,CLUB STREET,29476.903224899999,29306.370182009999
111,RCR,WATERLOO VIEW,WATERLOO STREET,30167.353931050001,31466.743981809999
112,RCR,PRINCIPAL GARDEN,PRINCE CHARLES CRESCENT ,26825.1877,30524.6675
113,RCR,TEXTILE CENTRE,JALAN SULTAN,31133.0952624,31768.669569390001
114,RCR,BUONA LODGE,ZEHNDER ROAD,22844.397344939998,29371.411719649998
115,RCR,ASCENTIA SKY,ALEXANDRA VIEW,26175.2622,30380.8319
116,RCR,VENTANA VILLAS,PASIR PANJANG HILL,22668.589142719998,29355.59137987
117,OCR,CLEMENTIWOODS CONDOMINIUM,WEST COAST ROAD,20739.676217089999,30972.015048370001
118,OCR,LANDED HOUSING DEVELOPMENT,FABER DRIVE,19404.76468626,33591.254874739998
119,CCR,MARINA COLLECTION,COVE DRIVE,28711.660651590001,25179.37682502
120,CCR,THE RESIDENCES AT W SINGAPORE SENTOSA COVE,OCEAN WAY,28922.8022,25739.0981
121,OCR,RESIDENTIAL APARTMENTS,JALAN MAS PUTEH,20083.772350379998,32291.04704129
122,RCR,BLAIR PLAIN CONSERVATION AREA,BLAIR ROAD,28310.13658175,28738.43664372
123,RCR,THE REGENCY AT TIONG BAHRU,CHAY YAN STREET,27650.59355738,29406.226479689998
124,RCR,VISTA PARK,SOUTH BUONA VISTA ROAD,23057.30863931,29316.808435240001
125,RCR,LE HILL CONDOMINIUM,PASIR PANJANG HILL,22593.113846519999,29518.642873790001
126,RCR,GRYPHON TERRACE,PASIR PANJANG ROAD,21657.689678489999,30261.416153149999
127,RCR,YONG SIAK VIEW,YONG SIAK STREET,27643.396236570001,29463.854273080001
128,RCR,WATERLOO APARTMENTS,WATERLOO STREET,30055.894957210001,31301.668121180001
129,RCR,GOLDEN MILE COMPLEX,BEACH ROAD,31569.002799840001,31730.776701730001
130,OCR,LANDED HOUSING DEVELOPMENT,FABER PARK,19725.5619,33688.8625
131,OCR,THE CLEMENT CANOPY,CLEMENTI AVENUE 1,,
132,RCR,SPOTTISWOODE PARK,SPOTTISWOODE PARK ROAD,28184.390957769999,28444.991896449999
133,RCR,BANYAN PARK,CHWEE CHIAN ROAD,23065.447579559999,29086.809787260001
134,RCR,PEPYS HILL CONDOMINIUM,PEPYS ROAD,23624.733796599999,28900.310739239999
135,CCR,THE OCEANFRONT @ SENTOSA COVE,OCEAN DRIVE,29029.50467572,25220.223985490001
136,RCR,ECHELON,ALEXANDRA VIEW,26273.1979,30326.8727
137,RCR,VILLA DE WEST,PASIR PANJANG ROAD,21227.993706479999,30355.203202619999
138,CCR,PARADISE ISLAND,PARADISE ISLAND,29304.53322818,25753.866714899999
139,RCR,HARVEST MANSIONS,HAVELOCK ROAD,27848.46249421,30268.242073119999
140,RCR,CONCOURSE SKYLINE,BEACH ROAD,31169.430507109998,31394.61761931
141,CCR,TANQUEELAN SUITES,TAN QUEE LAN STREET,30604.387762940001,31179.2252876
142,OCR,BLUE HORIZON,WEST COAST CRESCENT,20413.483488730001,31102.05101399
143,OCR,PASIR PANJANG GARDENS,JALAN MAS KUNING,20340.751293709999,32265.259039620001
144,RCR,VENTANA,PASIR PANJANG HILL,22610.82815084,29429.7437673
145,RCR,EMERALD PARK,INDUS ROAD,27646.2725134,30282.736637459999
146,RCR,PALISADES,PASIR PANJANG ROAD,22123.317107079998,29977.791665929998
147,RCR,TWIN REGENCY,KIM TIAN ROAD,27447.6618106,29668.264498690001
148,RCR,PALM GREEN,PASIR PANJANG ROAD,20911.755376680001,30452.78116728
149,OCR,VARSITY PARK CONDOMINIUM,WEST COAST ROAD,20825.28597952,30751.905140750001
150,RCR,THE FORESTA @ MOUNT FABER,WISHART ROAD,25861.2999,28134.2449
151,RCR,CRYSTAL HEIGHTS,PASIR PANJANG HILL,22719.117918150001,29340.447804859998
152,OCR,WATERFRONT @ FABER,FABER WALK,19310.3201,33972.9477
153,RCR,WEST SEA GARDENS,JALAN PELEPAH,23709.41692595,28501.524996149999
154,RCR,CHINATOWN PLAZA,CRAIG ROAD,28975.485601869999,29020.919111250001
155,RCR,CORALS AT KEPPEL BAY,KEPPEL BAY DRIVE,26184.1355,27647.2754
156,RCR,LANDRIDGE CONDOMINIUM,PASIR PANJANG ROAD,22903.598513419998,29086.286410690001
157,CCR,SEVEN PALMS SENTOSA COVE,COVE DRIVE,27752.712254500001,24666.760086660001
158,CCR,THE CLIFT,MCCALLUM STREET,29554.163913439999,29101.894569160002
159,OCR,BOTANNIA,WEST COAST PARK,19235.519487920001,33452.322658789999
160,CCR,THE VILLAS @ SENTOSA COVE,OCEAN DRIVE,29337.088712070002,26087.856791949998
161,CCR,SKYSUITES@ANSON,ENGGOR STREET,29262.1386,28574.9242
162,RCR,ALESSANDREA,ALEXANDRA ROAD,26850.363710240002,30351.502224830001
163,CCR,SEASCAPE,COVE WAY,28563.997331979999,24732.904809870001
164,RCR,BANYAN CONDOMINIUM,CHWEE CHIAN ROAD,23039.08737355,28980.816898190001
165,RCR,NORMANTON PARK,NORMANTON PARK,23558.302696439999,30013.519089009999
166,OCR,WESTVIEW GARDEN,JALAN MAS KUNING,20143.599639130001,32196.540025790001
167,RCR,HORIZON RESIDENCES,PASIR PANJANG HILL,22519.34273044,29354.12902933
168,RCR,LANDED HOUSING DEVELOPMENT,JALAN PASIR RIA,23498.44271556,28819.008849290001
169,RCR,MERAPRIME,JALAN BUKIT HO SWEE,27408.549904369999,29987.681879749998
170,RCR,CENTRAL GREEN CONDOMINIUM,JALAN MEMBINA,27401.82742665,29667.403711329999
171,OCR,WEST POINT PEARL GARDEN,WEST COAST ROAD,19617.46104244,32742.666971189999
172,OCR,REGENT PARK,JALAN LEMPENG,19957.930151989999,33286.823243730002
173,RCR,QUEENS,STIRLING ROAD,25043.504556069999,30556.388314209999
174,RCR,ONE-NORTH RESIDENCES,ONE-NORTH GATEWAY,23180.487112249999,31554.552628860001
175,CCR,WALLICH RESIDENCE AT TANJONG PAGAR CENTRE,WALLICH STREET,29396.332,28849.5283
176,RCR,THE INTERLACE,DEPOT ROAD,24612.925389509999,29455.78299374
177,RCR,LANDED HOUSING DEVELOPMENT,PASIR PANJANG HILL,22730.00011097,29456.019042179999
178,RCR,THE ANCHORAGE,ALEXANDRA ROAD,24858.059004299999,30212.073929560002
179,RCR,SKYLINE RESIDENCES,TELOK BLANGAH ROAD,25132.9767,28232.7854
180,RCR,LYNNSVILLE 331,PASIR PANJANG ROAD,21725.661160159999,30086.994526340002
181,RCR,HARBOUR SUITES,KAMPONG BAHRU ROAD,27358.7544,28296.3459
182,RCR,VIVA VISTA,SOUTH BUONA VISTA ROAD,22741.92496308,29105.6604011
183,OCR,WESTCOVE CONDOMINIUM,WEST COAST CRESCENT,20540.67064948,31184.61359683
184,RCR,REFLECTIONS AT KEPPEL BAY,KEPPEL BAY VIEW,25491.4959,27736.5935
185,RCR,THE ORIENT,PASIR PANJANG ROAD,22498.30779247,29303.107414629999
186,RCR,WHITEHAVEN,PASIR PANJANG ROAD,21801.517169810001,30235.76722794
187,RCR,HARBOUR VIEW TOWERS,TELOK BLANGAH DRIVE,25250.668053770001,28342.720240560002
188,RCR,TREASURE PLACE,LORONG SARHAD,23078.603468320001,29208.101182130001
189,RCR,PARC IMPERIAL,PASIR PANJANG ROAD,22477.530862150001,29318.495818419999
190,CCR,EON SHENTON,SHENTON WAY,29426.151208750001,28475.12255428
191,RCR,LANDED HOUSING DEVELOPMENT,PASIR PANJANG DRIVE,21145.008436709999,30527.777176149999
192,CCR,THE BERTHSIDE,OCEAN DRIVE,29541.52599493,25914.393428669998
193,CCR,76 SHENTON,SHENTON WAY,29357.661265519999,28446.352654659999
194,CCR,DUO RESIDENCES,FRASER STREET,30739.4759,31272.5428
195,RCR,THE MAYLEA,PASIR PANJANG ROAD,22714.374964330002,29257.78188139
196,OCR,THE CLEMENTVALE,MAS KUNING TERRACE,20435.050043109999,32291.096246259999
197,RCR,WEST PARK REGENCY,PASIR PANJANG ROAD,21693.375149140002,30312.801245509999
198,OCR,HUNDRED TREES,WEST COAST DRIVE,19771.24410801,32924.985648880002
199,RCR,MENDON SPRING,PASIR PANJANG ROAD,22908.495908860001,28971.196953139999
200,RCR,BIJOU,JALAN MAT JAMBOL,23366.6919,28819.132
201,OCR,WESTPEAK TERRACE,WEST COAST WALK,20047.46148257,32435.782997129999
202,CCR,THE AZURE,OCEAN DRIVE,29610.34273323,26078.090041560001
203,RCR,D' HILLSIDE LOFT,PASIR PANJANG HILL,22695.494466400001,29320.396241290002
204,RCR,BAROSSA GARDENS,PASIR PANJANG ROAD,22543.70115789,29261.046624040001
205,OCR,PARC RIVIERA,WEST COAST VALE,19087.5805,33646.0331
206,RCR,SPOTTISWOODE 18,SPOTTISWOODE PARK ROAD,28463.6071,28681.9345
207,CCR,THE 101,BEACH ROAD,30625.189200949998,31131.465963750002
208,RCR,CRAIG PLACE,CRAIG ROAD,29012.898073100001,28939.222018560001
209,RCR,THE PLAZA,BEACH ROAD,31051.8178,31363.6335
210,RCR,MURANO,PASIR PANJANG ROAD,21604.500418100001,30209.53684942
211,RCR,LANDED HOUSING DEVELOPMENT,JALAN MAT JAMBOL,23335.748382999999,28911.005511110001
212,RCR,SOUTHBANK,NORTH BRIDGE ROAD,31435.785405350002,32066.441271229999
213,RCR,ENG HOON MANSIONS,ENG HOON STREET,28144.66563865,29554.716177260001
214,RCR,DOMAIN 21,DELTA ROAD,27123.64569496,30464.035380289999
215,RCR,CARIBBEAN AT KEPPEL BAY,KEPPEL BAY DRIVE,25945.429960559999,27737.91263628
216,RCR,VILLAS SIX,PASIR PANJANG ROAD,22572.613400249999,29313.41886324
217,RCR,TELOK BLANGAH HOUSE,TELOK BLANGAH ROAD,26900.465256899999,27642.15529242
218,CCR,LUMIERE,MISTRI ROAD,29422.076512180001,28518.1049051
219,OCR,LANDED HOUSING DEVELOPMENT,FABER CRESCENT,19513.284607659999,33577.954761880002
220,OCR,THE SORRENTO,WEST COAST ROAD,20560.402344149999,30895.82783539
221,CCR,LANDED HOUSING DEVELOPMENT,COVE GROVE,28193.27738137,24751.51856126
222,RCR,THE METROPOLITAN CONDOMINIUM,ALEXANDRA VIEW,26083.856302290002,30311.293893989999
223,RCR,HIGHLINE RESIDENCES,KIM TIAN ROAD,27594.4322,29610.4697
224,OCR,FABER CREST,FABER HEIGHTS,19542.973960950001,33933.777444749999
0,CCR,RESIDENTIAL APARTMENTS,DRAYCOTT DRIVE,27730.647851530001,32469.693072649999
1,CCR,RIVERSHIRE,LEONIE HILL,28011.538961039999,31034.24331134
2,CCR,8 @ MOUNT SOPHIA,MOUNT SOPHIA,29379.785037720001,31493.645035120001
3,CCR,LUCKY PLAZA,ORCHARD ROAD,28083.640567779998,31882.9930752
4,CCR,LEIGHWOODS,MOUNT SINAI RISE,21795.898017509999,33070.562966730002
5,CCR,RIVIERA POINT,KIM YAM ROAD,28578.669789440001,30860.064951370002
6,RCR,CRYSTAL DEW,GEYLANG EAST AVENUE 1,33793.723127389997,33135.079022400002
7,CCR,CLIVEDEN AT GRANGE,GRANGE ROAD,27255.38162206,31325.358797729999
8,RCR,AVA TOWERS,AVA ROAD,30113.945065009999,33864.311602929999
9,CCR,LANDED HOUSING DEVELOPMENT,ROBIN CLOSE,27319.745006719999,33358.75108028
10,CCR,OLEANAS RESIDENCE,KIM YAM ROAD,28666.642750540001,30680.00690995
11,CCR,LANDED HOUSING DEVELOPMENT,JALAN TEMPUA,26371.037301830001,34052.654407690001
12,CCR,LANDED HOUSING DEVELOPMENT,NAMLY VIEW,24095.2881,34176.2171
13,OCR,QUBE SUITES,JALAN PUNAI,36314.103099670004,34678.945707069998
14,CCR,KING'S GARDEN,KING'S WALK,24531.475917560002,33340.619739679998
15,RCR,EDENZ SUITES,LORONG 28 GEYLANG,33843.192407490002,32802.577748599998
16,CCR,THE BALMORAL SPRING,BALMORAL CRESCENT,28134.395036790001,33104.476512539998
17,CCR,LANDED HOUSING DEVELOPMENT,TREVOSE CRESCENT,26941.799112440001,34295.700237949999
18,CCR,LANDED HOUSING DEVELOPMENT,BARKER ROAD,28126.34226553,33556.752333090003
19,CCR,SCOTTS HIGHPARK,SCOTTS ROAD,28433.376552889999,32747.544395009998
20,CCR,THE LINC,LINCOLN ROAD,29021.46545023,33001.751842159997
21,CCR,CUBE 8,THOMSON ROAD,28935.477449389999,34524.088236759998
22,CCR,THE ELEMENT @ STEVENS,STEVENS ROAD,27195.056476989999,33384.554597660003
23,CCR,SHANGHAI ONE,SHANGHAI ROAD,27373.10741313,30831.22143717
24,CCR,LANDED HOUSING DEVELOPMENT,CORONATION ROAD,25372.866428969999,33924.328370209999
25,CCR,JERVOIS LODGE,JERVOIS ROAD,26857.514287099998,30717.224515899999
26,CCR,RESIDENTIAL APARTMENTS,HULLET ROAD,28609.3276881,31708.596722709999
27,CCR,HALLMARK RESIDENCES,EWE BOON ROAD,27737.465300019998,33152.699977380003
28,CCR,LANDED HOUSING DEVELOPMENT,GOLDHILL RISE,27929.152357210001,33513.004689840003
29,CCR,KING'S ARCADE,BUKIT TIMAH ROAD,25475.241693500001,33947.263844760003
30,CCR,DEVONSHIRE RESIDENCES,DEVONSHIRE ROAD,28456.26992836,31254.272280000001
31,CCR,GISBORNE LIGHT,EWE BOON ROAD,27692.299294499999,33168.324613660001
32,CCR,THE SIERRA,MOUNT SINAI DRIVE,22111.170896970002,33381.627910070001
33,CCR,HOLLAND RESIDENCES,TAMAN WARNA,24241.377103680001,32555.138234889998
34,CCR,LANDED HOUSING DEVELOPMENT,JALAN ELOK,28245.155707259999,32072.89592654
35,CCR,KING'S LODGE,CORONATION ROAD,25336.487241799999,33819.227893999998
36,CCR,BALMORAL 8,BALMORAL ROAD,27905.10330851,32994.345285140003
37,RCR,THE CALLISTA,MAR THOMA ROAD,31305.68373423,34475.453425110002
38,CCR,LANDED HOUSING DEVELOPMENT,NAMLY GARDEN,23868.97591169,34077.315482790001
39,CCR,LANDED HOUSING DEVELOPMENT,NEWTON ROAD,28852.57662927,33155.143748290002
40,CCR,BOTANIC GARDENS MANSION,TAMAN SERASI,26529.918822639999,32268.570343030001
41,CCR,GENTLE REFLECTIONS,GENTLE ROAD,28596.765786240001,33499.258045320002
42,CCR,LANDED HOUSING DEVELOPMENT,GREENDALE RISE,25091.739724670002,34990.901693199998
43,RCR,RESIDENTIAL APARTMENTS,BALESTIER ROAD,29191.175018129999,34363.390356139999
44,CCR,LANDED HOUSING DEVELOPMENT,BELMONT ROAD,24176.775522259999,33532.454227560001
45,RCR,CITIGATE RESIDENCE,RANGOON ROAD,30219.705596930002,33204.230963849998
46,CCR,WING ON LIFE GARDEN,BUKIT TIMAH ROAD,27830.277065019999,33383.612569659997
47,RCR,RESIDENTIAL APARTMENTS,CHANGI ROAD,36339.251806850001,33365.0313853
48,CCR,THE AXIS,MANDALAY ROAD,29865.634171290001,34101.408563600003
49,CCR,ORCHARD SCOTTS,ANTHONY ROAD,28562.582843709998,32431.274089340002
50,CCR,AMARYLLIS VILLE,NEWTON ROAD,28968.458428660001,32998.100480670003
51,CCR,ARDMORE PARK,ARDMORE PARK,27565.900163020002,32530.341901660002
52,CCR,PINETREE CONDOMINIUM,BALMORAL PARK,27556.273206440001,33049.807602700002
53,CCR,EMERALD HILL CONSERVATION AREA,EMERALD HILL ROAD,28669.947544439999,31777.557131090001
54,CCR,VIZ AT HOLLAND,QUEENSWAY,24582.185391680001,32344.461009690002
55,CCR,LANDED HOUSING DEVELOPMENT,JALAN TUPAI,27228.291042319999,31578.424516850001
56,CCR,LANDED HOUSING DEVELOPMENT,GOLDHILL VIEW,27968.24777612,33636.545120219997
57,RCR,ASTON MANSIONS,LORONG 42 GEYLANG,34367.413329469997,32911.229075469997
58,CCR,BEVERLY HILL,GRANGE ROAD,27183.134038960001,31307.037631230002
59,CCR,ONE OXLEY RISE,OXLEY RISE,28942.918829290001,31283.064479749998
60,CCR,MOUNT SINAI,MOUNT SINAI AVENUE,22007.882533510001,33077.768678460001
61,CCR,HELIOS RESIDENCES,CAIRNHILL CIRCLE,28516.730652759999,32135.736766340001
62,RCR,MERA SPRINGS,CARLISLE ROAD,29477.164198430001,33014.988001879997
63,CCR,WOOLLERTON PARK,WOOLLERTON PARK,25214.87018939,33237.100698390001
64,CCR,MORIMASA GARDENS,GILSTEAD ROAD,28616.480639719999,33195.850701319998
65,RCR,GEYLANG MANSION,LORONG 26 GEYLANG,33724.849297240001,32823.861928580001
66,OCR,MERA EAST,CHANGI ROAD,36461.094217709999,33392.548451469998
67,CCR,LANDED HOUSING DEVELOPMENT,LANTANA AVENUE,23525.591548010001,34489.774171789999
68,CCR,LANDED HOUSING DEVELOPMENT,MOONBEAM DRIVE,22350.11085814,33329.806819249998
69,RCR,THE WATERINA,LORONG 40 GEYLANG,34347.435933439997,32745.62632979
70,CCR,EWART PARK,EWART PARK,22425.06636527,34087.502247589997
71,CCR,CASA NOVACREST,PECK HAY ROAD,28542.704985649999,32406.25123904
72,RCR,THE ELYSIA,MAR THOMA ROAD,31195.563570739999,34358.254724250001
73,CCR,LANDED HOUSING DEVELOPMENT,STEVENS CLOSE,27066.5146,33001.4115
74,CCR,TRIBECA,KIM SENG ROAD,28171.552241549999,30387.75398596
75,RCR,DELIGHT COURT,LORONG 33 GEYLANG,34092.644356140003,33064.459659379997
76,CCR,LANDED HOUSING DEVELOPMENT,CUSCADEN ROAD,27287.686934320002,32020.539084359999
77,RCR,THE SUNNY SPRING,LORONG 40 GEYLANG,34257.17185132,32728.097172549998
78,CCR,RV EDGE,SHANGHAI ROAD,27408.433672960001,30798.63538484
79,CCR,LANDED HOUSING DEVELOPMENT,MARGOLIOUTH ROAD,26951.810438459999,33472.531239569998
